SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_code_other_address,SA2_name_other_address,At_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,School_bus,Train,Bicycle,Walk_or_jog,Ferry,other,Total
133800,Hobson Ridge South,132400,Victoria Park ,0,0,0,0,0,0,0,0,33,0,0,39
249700,Newlands South,252100,Vivian East,0,12,6,0,6,0,0,0,0,0,0,33
162700,Kawakawa Bay-Orere,152700,Middlemore,0,9,0,0,0,0,0,0,0,0,0,9
325000,Hillmorton,317700,Hawthornden,0,6,0,0,0,0,0,0,0,0,0,6
350400,Halfway Bush,350100,Wingatui,0,0,0,0,0,0,0,0,0,0,0,6
130200,Saint Marys Bay,147700,Mount Wellington Industrial,0,6,0,0,0,0,0,0,0,0,0,9
323700,Queenspark,324800,St Albans East,0,9,0,0,0,0,0,0,0,0,0,9
133400,Hobson Ridge Central,138500,Newmarket,0,12,0,0,21,0,0,0,12,0,0,48
242500,Wallaceville,244000,Alicetown-Melling,0,6,0,0,0,0,0,0,0,0,0,9
302600,Brightwater,302800,Richmond Central (Tasman District),0,96,9,0,0,0,0,0,0,0,0,108
247700,Linden,251400,Wellington Central,0,48,0,9,0,0,225,0,0,0,0,297
149400,Favona East,140400,Mount Roskill Central North,0,6,0,0,0,0,0,0,0,0,0,6
117600,Oteha East,133000,Devonport,0,6,0,0,0,0,0,0,0,0,0,6
144700,Glen Innes West,152300,East Tamaki,0,42,6,0,0,0,0,0,0,0,0,51
189700,Turangi,188500,Nukuhau-Rangatira Park,0,0,0,0,0,0,0,0,0,0,0,9
163500,Papakura Kelvin,162200,Takanini Central,0,36,0,6,0,0,0,0,0,0,0,48
165100,Ramarama,166200,Buckland,0,0,0,0,0,0,0,0,0,0,0,6
