SA2_code_usual_residence_address,SA2_name_usual_residence_address,SA2_code_other_address,SA2_name_other_address,At_home,Drive_a_private_car_truck_or_van,Drive_a_company_car_truck_or_van,Passenger_in_a_car_truck_van_or_company_bus,Public_bus,School_bus,Train,Bicycle,Walk_or_jog,Ferry,other,Total
101800,Whakarara,101900,Kaeo,0,0,0,9,0,36,0,0,0,0,0,42
300900,Upper Moutere,301600,Moutere Hills,0,0,0,39,0,15,0,0,0,0,0,54
167500,Kauaeranga,167800,Thames South,0,0,0,21,0,15,0,0,0,0,0,33
172200,Ngaruawahia South,179500,Hamilton Lake,0,0,0,9,0,0,0,0,0,0,0,12
124300,Henderson Larnoch,117300,Albany Central,0,9,0,0,0,0,0,0,0,0,0,12
244400,Avalon West,243600,Belmont (Lower Hutt City),0,0,0,30,0,0,0,0,0,0,0,30
351900,Normanby ,353400,Dunedin Central,0,6,0,0,6,0,0,0,0,0,0,21
332100,Redcliffs,321200,Ilam University,0,27,0,0,0,0,0,0,0,0,0,33
119400,Greenhithe South,134800,Auckland-University,0,12,0,0,27,0,0,0,0,0,0,42
191600,Kaitemako (Western Bay of Plenty District),194300,Omanu Beach,0,0,0,6,0,0,0,0,0,0,0,9
125900,Milford Central,134800,Auckland-University,0,9,0,0,33,0,0,0,0,0,0,48
116900,Fairview Heights,117400,Albany West,0,0,0,30,0,0,0,0,0,0,0,36
201300,Tihiotonga-Whakarewarewa,200200,Hillcrest (Rotorua District),0,0,0,6,0,0,0,0,0,0,0,9
178500,Fairview Downs,176200,Rototuna South,0,0,0,12,0,0,0,0,0,0,0,12
118600,North Harbour,134800,Auckland-University,0,0,0,0,0,0,0,0,0,0,0,6
342800,Waimate East,341100,Timaru Central,0,0,0,0,0,6,0,0,0,0,0,9
118700,Browns Bay South East,118100,Albany South,0,0,0,0,0,0,0,0,0,0,0,6
218200,Ferndale,218600,Upper Vogeltown,0,0,0,6,0,0,0,0,0,0,0,6
178100,Dinsdale South,181200,Riverlea,0,0,0,0,0,0,0,0,0,0,0,6
116700,Albany Heights,116500,Long Bay,0,0,0,12,0,6,0,0,0,0,0,21
145100,Glendowie South,140500,Remuera North,0,0,0,6,0,21,0,0,0,0,0,27
153500,Otara West,155500,Manukau Central,0,0,0,0,0,0,0,0,0,0,0,12
345200,Earnscleugh,345400,Clyde,0,0,0,15,0,6,0,0,0,0,0,24
228800,Newbury,231400,Milverton,0,0,0,9,0,0,0,0,0,0,0,9
132300,New Lynn North,133200,Queen Street,0,9,0,0,0,0,0,0,0,0,0,15
162600,Takanini South East,154400,Otara Central,0,9,0,0,0,0,0,0,0,0,0,15
241800,Silverstream (Upper Hutt City),251300,Wellington University,0,6,0,0,0,0,0,0,0,0,0,33
142100,Hillsborough West (Auckland),140400,Mount Roskill Central North,0,6,0,60,0,0,0,9,102,0,0,174
337400,Allenton North,338400,Netherby,0,0,0,6,0,0,0,0,0,0,0,6
338400,Netherby,338300,Ashburton East,0,0,0,15,0,0,0,0,21,0,0,39
312800,Balcairn,315000,Southbrook,0,0,0,0,0,0,0,0,0,0,0,9
156800,Rongomai West,154400,Otara Central,0,18,0,6,0,0,0,0,0,0,0,33
106500,Tikipunga South,108300,Onerahi,0,0,0,9,0,0,0,0,0,0,0,9
121500,Totara Vale North,120400,Unsworth Heights East,0,0,0,9,0,0,0,0,0,0,0,9
242500,Wallaceville,241600,Poets Block,0,0,0,9,0,0,0,0,0,0,0,12
353200,Campus South,324900,Hagley Park,0,0,0,0,0,0,0,0,15,0,0,15
244700,Petone East,244300,Hutt Central North,0,0,0,12,15,0,0,0,0,0,0,24
121300,Sunnynook North,126800,Takapuna Central,0,0,0,0,0,0,0,0,0,0,0,6
329100,Somerfield East,330800,St Martins,0,0,0,6,0,0,0,0,0,0,0,9
243200,Maungaraki,244000,Alicetown-Melling,0,0,0,15,0,0,0,0,0,0,0,18
235900,Waiopehu,234700,Donnelly Park,0,0,0,6,0,9,0,0,0,0,0,21
132800,Grey Lynn Central,117400,Albany West,0,6,0,0,0,0,0,0,0,0,0,9
137900,Wesley West,132200,Mount Albert North,0,6,0,0,0,0,0,0,0,0,0,15
308000,Riversdale-Islington,307900,Blenheim Central,0,0,0,12,0,0,0,0,0,0,0,15
318900,Avonhead West,319700,Avonhead South,0,0,0,15,0,0,0,0,0,0,0,18
147100,Panmure East,154400,Otara Central,0,0,0,0,0,0,0,0,0,0,0,15
337100,Eiffelton,336000,Lincoln West,0,0,0,0,0,0,0,0,0,0,0,6
219800,Pembroke,217300,Strandon,0,0,0,0,0,12,0,0,0,0,0,18
134900,New Lynn Seabrook,135600,New Lynn Central South,0,0,0,9,0,0,0,0,15,0,0,24
232300,Hokowhitu South,229300,Milson South,0,0,0,6,0,0,0,0,0,0,0,6
214500,Nelson Park,215200,McLean Park,0,0,0,18,0,0,0,15,6,0,0,45
214900,Tareha Reserve,213200,Taradale South,0,30,0,0,0,0,0,0,39,0,0,75
248700,Paparangi,248600,Johnsonville North,0,0,0,9,0,0,0,0,0,0,0,9
177800,Porritt,177300,Chartwell,0,0,0,12,0,0,0,0,9,0,0,21
211300,Haumoana-Te Awanga,213200,Taradale South,0,12,0,0,0,0,0,0,0,0,0,12
117000,Whenuapai,120200,Hobsonville Point,0,9,0,30,0,42,0,0,0,0,0,87
176500,Saint Andrews East,179500,Hamilton Lake,0,0,0,6,9,0,0,0,0,0,0,15
142300,Waikowhai North,132200,Mount Albert North,0,0,0,0,0,0,0,0,0,0,0,6
218500,Waitara West,217500,Bell Block West,0,0,0,9,0,0,0,0,0,0,0,9
301600,Moutere Hills,305600,Grampians,0,0,0,9,0,9,0,0,0,0,0,27
302300,Wakefield,305300,Rutherford,0,0,0,0,0,0,0,0,0,0,0,6
240900,Ranui Heights ,239300,Elsdon-Takapuwahia,0,0,0,6,0,0,0,0,0,0,0,6
133400,Hobson Ridge Central,131800,Freemans Bay,0,0,0,0,0,0,0,0,54,0,0,60
114900,Whangaparoa Central,114600,Stanmore Bay West,0,0,0,69,0,0,0,0,0,0,0,72
314900,Rangiora South East,314200,Rangiora North East,0,0,0,18,0,0,0,0,60,0,0,87
148500,Mangere North,154200,Aorere South,0,0,0,6,0,0,0,0,0,0,0,12
249700,Newlands South,253700,Kilbirnie Central,0,0,0,0,0,0,0,0,0,0,0,12
256600,Homebush-Te Ore Ore,255700,Solway North,0,0,0,15,0,0,0,0,0,0,0,18
160200,Weymouth North,154400,Otara Central,0,15,0,0,9,0,0,0,0,0,0,24
254700,Houghton Bay,253800,Island Bay West,0,0,0,9,0,0,0,0,0,0,0,9
107400,Tarewa,107300,Raumanga,0,0,0,0,0,0,0,0,9,0,0,12
120900,Massey Royal Road West,119600,Westgate South,0,0,0,45,0,0,0,0,12,0,0,60
117200,Torbay,126600,Takapuna West,0,0,0,0,12,0,0,0,0,0,0,21
229500,Westbrook,229600,Takaro North,0,0,0,18,0,0,0,0,0,0,0,21
131200,Ponsonby East,140300,Mount St John,0,0,0,6,0,0,0,0,0,0,0,12
231500,Ruamahanga,229200,Tremaine,0,0,0,42,0,0,0,12,0,0,0,57
115500,Coatesville,119700,Windsor Park,0,0,0,9,0,0,0,0,0,0,0,15
335200,Rolleston North East,319200,Burnside,0,0,0,6,0,0,0,0,0,0,0,9
177700,Miropiko,180600,Hillcrest West (Hamilton City),0,63,0,12,15,0,0,0,0,0,0,96
140200,Epsom Central-North,134100,Queen Street South West,0,0,0,0,0,0,0,0,0,0,0,6
149800,Pakuranga Central,154400,Otara Central,0,12,0,0,6,0,0,0,0,0,0,18
135500,Owairaka West,140400,Mount Roskill Central North,0,0,0,9,0,0,0,0,0,0,0,12
316600,Yaldhurst,319300,Hei Hei,0,0,0,12,0,0,0,0,9,0,0,21
308000,Riversdale-Islington,307800,Whitney West,0,0,0,24,0,0,0,0,0,0,0,24
177700,Miropiko,177800,Porritt,0,0,0,18,0,0,0,12,6,0,0,42
196700,Welcome Bay East,193500,Bethlehem Central,0,0,0,0,0,9,0,0,0,0,0,18
169400,Waihi North,169500,Waihi East,0,0,0,24,0,0,0,0,0,0,0,24
153400,Cockle Bay,149300,Half Moon Bay South East,0,0,0,0,9,0,0,0,0,0,0,15
246400,Naenae South,245500,Waterloo West,0,0,0,9,0,0,0,0,0,0,0,9
129000,Sunnyvale West-Parrs Park,134200,Mount Albert Central,0,0,0,0,0,0,0,0,0,0,0,6
102300,Okaihau,103000,Kerikeri Central,0,0,0,24,0,24,0,0,0,0,0,54
243300,Korokoro,243200,Maungaraki,0,0,0,9,0,0,0,0,0,0,0,12
209500,Camberley,209400,Frimley,0,0,0,30,0,0,0,0,18,0,0,57
303600,Nelson Rural,305600,Grampians,0,0,0,12,0,30,0,0,0,0,0,45
150400,Howick West,127200,Akoranga,0,6,0,0,0,0,0,0,0,0,0,9
161400,Kingseat-Karaka,151400,Otahuhu South West,0,0,0,0,0,0,0,0,0,0,0,9
252700,Owhiro Bay,252900,Newtown North,0,0,0,0,0,0,0,0,0,0,0,6
116900,Fairview Heights,117700,Northcross,0,0,0,42,0,0,0,0,9,0,0,54
231800,Hokowhitu East,231600,Esplanade,0,0,0,51,9,0,0,15,36,0,0,117
191800,Otawa,194800,Tauranga South,0,0,0,0,0,0,0,0,0,0,0,9
236800,Waikanae Beach,237000,Paraparaumu Beach North,0,0,0,9,0,0,0,0,0,0,0,9
142800,One Tree Hill,131200,Ponsonby East,0,0,0,0,0,0,0,0,0,0,0,6
245000,Petone Esplanade,244700,Petone East,0,6,0,60,0,0,0,6,51,0,0,129
357700,Mossburn,359500,Wyndham-Catlins,0,0,0,15,0,0,0,0,0,0,0,15
194000,Judea,193300,Otumoetai South,0,0,0,21,0,0,0,0,0,0,0,27
336000,Lincoln West,336100,Lincoln East,0,0,0,12,0,0,0,0,0,0,0,12
315900,Sovereign Palms,315200,Tuahiwi,0,0,0,6,0,0,0,0,0,0,0,6
124400,Birkdale South,121800,Beach Haven West,0,0,0,12,0,0,0,0,0,0,0,12
158300,Hilltop (Auckland),157300,Ormiston North,0,0,0,30,0,0,0,0,0,0,0,30
251500,Brooklyn North,253700,Kilbirnie Central,0,0,0,0,0,0,0,0,0,0,0,6
241600,Poets Block,252400,Mount Cook East,0,0,0,0,0,0,0,0,0,0,0,6
104800,Mangakahia-Hukerenui,107100,Whangarei Central,0,6,0,18,0,12,0,0,0,0,0,39
137600,Sandringham West,134200,Mount Albert Central,0,0,0,21,0,0,0,0,51,0,0,72
106600,Kensington (Whangarei District),106100,Whau Valley,0,0,0,12,0,0,0,0,0,0,0,15
237500,Paraparaumu North,238500,Raumati South,0,0,0,12,0,0,0,0,0,0,0,12
179200,Ruakura,180800,Silverdale (Hamilton City),0,0,0,12,0,0,0,0,0,0,0,15
